ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
2261,edrm-order-court-of-international-trade-stephen-alexander-vaden-2023-06-08,Judicial order,2023-06-08,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in Court of International Trade. Points of interest: not listed.,,https://edrm.net/wp-content/uploads/2024/04/Judge-Stephen-Alexander-Vaden.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/04/Judge-Stephen-Alexander-Vaden.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2262,edrm-order-district-court-for-the-northern-district-of-california-araceli-martinez-olguin-2023-11-22,Judicial order,2023-11-22,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in District Court for the Northern District of California. Points of interest: H.4. (AI) - Fed. R. Civ. P. 11 applies.,,https://edrm.net/wp-content/uploads/2024/03/H.4-Araceli-Martinez-Olguin-N.D-CA.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/03/H.4-Araceli-Martinez-Olguin-N.D-CA.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2263,edrm-order-district-court-for-southern-district-of-new-york-arun-subramanian-2023-07-29,Judicial order,2023-07-29,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in District Court for Southern District of New York. Points of interest: Individual practices in civil cases. 8.F. Use of ChatGPT and other tools.,,https://edrm.net/wp-content/uploads/2024/03/8f.-AS-Subramanian-Civil-Individual-Practices.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/03/8f.-AS-Subramanian-Civil-Individual-Practices.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2264,edrm-order-district-of-hawaii-derrick-k-watson-chief-judge-michaelseabright-leslie-e-kobayashi-and-jill-a-otake-2023-11-14,Judicial order,2023-11-14,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in District of Hawaii. Points of interest: Geral order 23-1. In Re: Use of unverified sources.,,https://edrm.net/wp-content/uploads/2024/03/D.-HAWAII-General-Order-on-the-Use-of-Unverified-Sources.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/03/D.-HAWAII-General-Order-on-the-Use-of-Unverified-Sources.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2265,edrm-order-district-court-for-the-district-of-new-jersey-evelyn-padin-2023-11-13,Judicial order,2023-11-13,legal_hallucination,"EDRM's judicial orders repository lists an order concerning AI use in District Court for the District of New Jersey. Points of interest: General pretrial and trial procedures. I.B. (""GAI"").",,https://edrm.net/wp-content/uploads/2024/03/JUDGE-EVELYN-PADINS-1.B.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/03/JUDGE-EVELYN-PADINS-1.B.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2266,edrm-order-district-court-for-the-northern-district-of-illinois-gabriel-a-fuentes-2023-05-31,Judicial order,2023-05-31,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in District Court For the Northern District of Illinois. Points of interest: Rule 11 of the Federal Rules of Civil Procedure.,,https://edrm.net/wp-content/uploads/2024/03/G-Fuentes-Chicago.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/03/G-Fuentes-Chicago.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2267,edrm-order-district-court-for-the-eastern-district-of-pennsylvania-gene-pratter-2023-10-25,Judicial order,2023-10-25,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in District Court for the Eastern District of Pennsylvania. Points of interest: Disclose use of GenAI.,,https://edrm.net/wp-content/uploads/2024/03/JUDGE-PRATTER.docx | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/03/JUDGE-PRATTER.docx,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2268,edrm-order-district-court-southern-district-of-ohio-michael-j-newman-2023-07-14,Judicial order,2023-07-14,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in District Court Southern District of Ohio. Points of interest: VI. Artificial intelligence provision.,,https://edrm.net/wp-content/uploads/2024/03/VI.-MICHAEL-NEWMAN.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/03/VI.-MICHAEL-NEWMAN.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2269,edrm-order-district-court-for-the-eastern-district-of-pennsylvania-michael-m-baylson-2023-06-06,Judicial order,2023-06-06,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in District Court for the Eastern District of Pennsylvania. Points of interest: not listed.,,https://edrm.net/wp-content/uploads/2024/04/Pennsylvania-M.-Baylson.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/04/Pennsylvania-M.-Baylson.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2270,edrm-order-eastern-district-of-texas-rodney-gilstrap-2023-12-01,Judicial order,2023-12-01,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in Eastern District of Texas. Points of interest: https://www.txed.uscourts.gov/?q=local-rule-cv-11-signing-pleadings-motions-and-other-documents.,,https://edrm.net/wp-content/uploads/2024/04/Judge-Rodney-Gilstrap.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/04/Judge-Rodney-Gilstrap.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2271,edrm-order-394th-judicial-district-court-of-texas-roy-ferguson-2023-06-09,Judicial order,2023-06-09,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in 394th Judicial District Court of Texas. Points of interest: not listed.,,https://edrm.net/wp-content/uploads/2024/04/Judge-Roy-Ferguson.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/04/Judge-Roy-Ferguson.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
2272,edrm-order-bankruptcy-court-western-district-of-oklahoma-sarah-a-hall-chief-janice-d-loyd-2023-07-25,Judicial order,2023-07-25,legal_hallucination,EDRM's judicial orders repository lists an order concerning AI use in Bankruptcy Court Western District of Oklahoma. Points of interest: General order No. 23-01. In Re: Pleadings using GenAI.,,https://edrm.net/wp-content/uploads/2024/03/Bankr.-W.D.-Okla.pdf | https://edrm.net/judicial-orders-2/ | https://edrm.net/2024/04/edrm-announces-genai-judicial-orders-repository/ | https://edrm.net/,REVIEW,high,Generated from EDRM; source=https://edrm.net/wp-content/uploads/2024/03/Bankr.-W.D.-Okla.pdf,verified_accident,court_or_regulator,legal_hallucination,"Fixed verified source EDRM documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,edrm_judicial_orders
