ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
1,ca-dmv-waymo-2026-04-12-2,Waymo,2026-04-12,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Waymo dated April 12, 2026 (2).",,https://www.dmv.ca.gov/portal/file/waymo_041226-2-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Waymo April 12, 2026 (2) (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
2,ca-dmv-waymo-2026-04-12-1,Waymo,2026-04-12,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Waymo dated April 12, 2026 (1).",,https://www.dmv.ca.gov/portal/file/waymo_041226-1-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Waymo April 12, 2026 (1) (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
3,ca-dmv-waymo-2026-04-10,Waymo,2026-04-10,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Waymo dated April 10, 2026.",,https://www.dmv.ca.gov/portal/file/waymo_041026-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Waymo April 10, 2026 (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
4,ca-dmv-waymo-2026-04-06,Waymo,2026-04-06,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Waymo dated April 6, 2026.",,https://www.dmv.ca.gov/portal/file/waymo_040626-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Waymo April 6, 2026 (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
5,ca-dmv-nuro-2026-04-03,Nuro,2026-04-03,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Nuro dated April 3, 2026.",,https://www.dmv.ca.gov/portal/file/nuro_040326-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Nuro April 3, 2026 (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
6,ca-dmv-zoox-2026-04-02,Zoox,2026-04-02,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Zoox dated April 2, 2026.",,https://www.dmv.ca.gov/portal/file/zoox_040226-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Zoox April 2, 2026 (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
7,damien-hallucination-superb-motors-inc-et-al-v-anthony-deo-et-al-2026-04-30,Legal filing,2026-04-30,legal_hallucination,"Damien Charlotin's AI hallucination case tracker records Superb Motors Inc. et al. v. Anthony Deo et al. in E.D. New York: Lawyer linked to alleged or found AI legal hallucination. Outcome: Monetary Sanction. Fabricated: Case Law | Opposing party identified 'In re Amica Mut. Ins. Co., 85 A.D.3d 1510 (3rd Dept. 2011)' as a nonexistent case; court treated it as an AI-generated fabricated citation. || Fabricated: Case Law | Court independently discovered 'In re Marcus, 491 F.2d 56, 60...",,https://www.damiencharlotin.com/documents/2079/Superb_Motors_v._Deo_USA_30_April_2026.pdf | https://www.damiencharlotin.com/hallucinations/ | https://www.damiencharlotin.com/hallucinations/hallucinations/download.csv,REVIEW,high,Generated from Damien Charlotin hallucinations CSV; case source=/documents/2079/Superb_Motors_v._Deo_USA_30_April_2026.pdf,verified_accident,court_or_regulator,legal_hallucination,Damien Charlotin tracker links this legal hallucination case to court or case materials; editorial review still checks AI involvement and procedural posture.,fixed_verified_source,damien_charlotin_hallucinations
8,damien-hallucination-jamal-berry-v-early-warning-services-2026-04-30,Legal filing,2026-04-30,legal_hallucination,"Damien Charlotin's AI hallucination case tracker records Jamal Berry v. Early Warning Services in E.D. Pennsylvania: Pro Se Litigant linked to alleged or found AI legal hallucination. Outcome: Warning. False Quotes: Case Law | Plaintiff quoted a passage purportedly from McIvor v. Credit Control Servs., 773 F.3d 909 (8th Cir. 2014); the court found the quoted passage does not appear in the opinion and the pincite (page 918) is nonexistent. || Fabricated: Case Law | Plaintiff...",,https://www.damiencharlotin.com/documents/2064/Berry_v._Early_Warning_USA_30_April_2026.pdf | https://www.damiencharlotin.com/hallucinations/ | https://www.damiencharlotin.com/hallucinations/hallucinations/download.csv,REVIEW,high,Generated from Damien Charlotin hallucinations CSV; case source=/documents/2064/Berry_v._Early_Warning_USA_30_April_2026.pdf,verified_accident,court_or_regulator,legal_hallucination,Damien Charlotin tracker links this legal hallucination case to court or case materials; editorial review still checks AI involvement and procedural posture.,fixed_verified_source,damien_charlotin_hallucinations
9,damien-hallucination-faisal-rahman-v-michael-j-burton-et-al-2026-04-30,Legal filing,2026-04-30,legal_hallucination,"Damien Charlotin's AI hallucination case tracker records Faisal Rahman v. Michael J. Burton, et al. in N.D. Illinois: Pro Se Litigant linked to alleged or found AI legal hallucination. Outcome: Warning. Fabricated: Case Law | Plaintiff cited a case called 'Swayne' that the court determined does not exist; court identified the citation as fabricated in assessing Rule 11 concerns. || Fabricated: Case Law | Plaintiff cited a purported Seventh Circuit case called 'Kitchen' that t...",,https://www.damiencharlotin.com/documents/2066/Rahman_v._Burton_USA_30_April_2026.pdf | https://www.damiencharlotin.com/hallucinations/ | https://www.damiencharlotin.com/hallucinations/hallucinations/download.csv,REVIEW,high,Generated from Damien Charlotin hallucinations CSV; case source=/documents/2066/Rahman_v._Burton_USA_30_April_2026.pdf,verified_accident,court_or_regulator,legal_hallucination,Damien Charlotin tracker links this legal hallucination case to court or case materials; editorial review still checks AI involvement and procedural posture.,fixed_verified_source,damien_charlotin_hallucinations
10,damien-hallucination-braun-v-day-2026-04-30,Legal filing,2026-04-30,legal_hallucination,"Damien Charlotin's AI hallucination case tracker records Braun v. Day in N.D. Illinois: Lawyer linked to alleged or found AI legal hallucination. Outcome: Show Cause Order. Fabricated: Case Law | EEOC v. AutoZone, Inc., No. 11 C 0195, 2012 WL 3061482 (N.D. Ill. July 26, 2012), || Fabricated: Case Law | BankDirect Cap. Fin., LLC v. Cap. Premium Fin., Inc., No. 15 C 10340, 2017 WL 1022010, at *3 (N.D. Ill. Mar. 16, 2017) || Fabricated: Case Law | W...",,https://www.courtlistener.com/docket/68095239/braun-v-day/?filed_after=&filed_before=&entry_gte=&entry_lte=&order_by=desc | https://www.damiencharlotin.com/hallucinations/ | https://www.damiencharlotin.com/hallucinations/hallucinations/download.csv,REVIEW,high,Generated from Damien Charlotin hallucinations CSV; case source=https://www.courtlistener.com/docket/68095239/braun-v-day/?filed_after=&filed_before=&entry_gte=&entry_lte=&order_by=desc,verified_accident,court_or_regulator,legal_hallucination,Damien Charlotin tracker links this legal hallucination case to court or case materials; editorial review still checks AI involvement and procedural posture.,fixed_verified_source,damien_charlotin_hallucinations
